"","study.accession","experiment.accession","source_name","data.subset","genotype.variation","tumor.status"
"218","SRP068970","SRX1549772","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"219","SRP068970","SRX1549531","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"220","SRP068970","SRX1549485","Xenograft Tumor","Xenograft","CSL +/+","Early graft"
"221","SRP068970","SRX1549527","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"222","SRP068970","SRX1549763","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"223","SRP068970","SRX1549665","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"224","SRP068970","SRX1549636","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"225","SRP068970","SRX1549813","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"226","SRP068970","SRX1549557","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"227","SRP068970","SRX1549610","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"228","SRP068970","SRX1549616","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"229","SRP068970","SRX1549634","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"230","SRP068970","SRX1549626","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"231","SRP068970","SRX1549599","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"232","SRP068970","SRX1549517","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"233","SRP068970","SRX1549790","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"234","SRP068970","SRX1549791","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"235","SRP068970","SRX1549608","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"236","SRP068970","SRX1549643","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"237","SRP068970","SRX1549705","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"238","SRP068970","SRX1549696","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"239","SRP068970","SRX1549501","MDA_MB_231 Cells","Cell Population","CSL +/+","n/a"
"240","SRP068970","SRX1549526","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"241","SRP068970","SRX1549810","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"242","SRP068970","SRX1549775","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"243","SRP068970","SRX1549795","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"244","SRP068970","SRX1549518","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"245","SRP068970","SRX1549607","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"246","SRP068970","SRX1549638","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"247","SRP068970","SRX1549752","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"248","SRP068970","SRX1549698","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"249","SRP068970","SRX1549828","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"250","SRP068970","SRX1549846","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"251","SRP068970","SRX1549802","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"252","SRP068970","SRX1549699","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"253","SRP068970","SRX1549585","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"254","SRP068970","SRX1549555","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"255","SRP068970","SRX1549588","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"256","SRP068970","SRX1549595","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"257","SRP068970","SRX1549491","Xenograft Tumor","Xenograft","CSL -/-","Late graft"
"258","SRP068970","SRX1549552","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"259","SRP068970","SRX1549747","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"260","SRP068970","SRX1549876","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"261","SRP068970","SRX1549878","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"262","SRP068970","SRX1549733","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"263","SRP068970","SRX1549572","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"264","SRP068970","SRX1549573","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"265","SRP068970","SRX1549534","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"266","SRP068970","SRX1549860","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"267","SRP068970","SRX1549549","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"268","SRP068970","SRX1549522","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"269","SRP068970","SRX1549780","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"270","SRP068970","SRX1549761","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"271","SRP068970","SRX1549635","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"272","SRP068970","SRX1549580","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"273","SRP068970","SRX1549547","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"274","SRP068970","SRX1549730","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"275","SRP068970","SRX1549637","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"276","SRP068970","SRX1549503","MDA_MB_231 Cells","Cell Population","CSL +/+","n/a"
"277","SRP068970","SRX1549722","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"278","SRP068970","SRX1549574","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"279","SRP068970","SRX1549692","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"280","SRP068970","SRX1549567","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"281","SRP068970","SRX1549852","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"282","SRP068970","SRX1549792","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"283","SRP068970","SRX1549858","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"284","SRP068970","SRX1549530","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"285","SRP068970","SRX1549785","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"286","SRP068970","SRX1549879","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"287","SRP068970","SRX1549664","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"288","SRP068970","SRX1549609","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"289","SRP068970","SRX1549612","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"290","SRP068970","SRX1549703","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"291","SRP068970","SRX1549707","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"292","SRP068970","SRX1549764","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"293","SRP068970","SRX1549519","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"294","SRP068970","SRX1549711","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"295","SRP068970","SRX1549829","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"296","SRP068970","SRX1549866","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"297","SRP068970","SRX1549863","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"298","SRP068970","SRX1549554","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"299","SRP068970","SRX1549716","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"300","SRP068970","SRX1549682","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"301","SRP068970","SRX1549836","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"302","SRP068970","SRX1549787","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"303","SRP068970","SRX1549760","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"304","SRP068970","SRX1549653","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"305","SRP068970","SRX1549495","Primary Culture from Xenograft Tumor","Cell Population","CSL -/-","n/a"
"306","SRP068970","SRX1549855","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"307","SRP068970","SRX1549500","MDA_MB_231 Cells","Cell Population","CSL +/+","n/a"
"308","SRP068970","SRX1549850","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"309","SRP068970","SRX1549520","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"310","SRP068970","SRX1549539","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"311","SRP068970","SRX1549797","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"312","SRP068970","SRX1549622","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"313","SRP068970","SRX1549484","Xenograft Tumor","Xenograft","CSL +/+","Early graft"
"314","SRP068970","SRX1549659","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"315","SRP068970","SRX1549602","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"316","SRP068970","SRX1549887","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"317","SRP068970","SRX1549537","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"318","SRP068970","SRX1549654","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"319","SRP068970","SRX1549701","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"320","SRP068970","SRX1549885","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"321","SRP068970","SRX1549840","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"322","SRP068970","SRX1549691","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"323","SRP068970","SRX1549854","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"324","SRP068970","SRX1549521","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"325","SRP068970","SRX1549882","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"326","SRP068970","SRX1549784","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"327","SRP068970","SRX1549737","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"328","SRP068970","SRX1549524","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"329","SRP068970","SRX1549488","Xenograft Tumor","Xenograft","CSL -/-","Early graft"
"330","SRP068970","SRX1549619","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"331","SRP068970","SRX1549729","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"332","SRP068970","SRX1549645","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"333","SRP068970","SRX1549587","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"334","SRP068970","SRX1549817","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"335","SRP068970","SRX1549812","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"336","SRP068970","SRX1549678","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"337","SRP068970","SRX1549633","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"338","SRP068970","SRX1549571","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"339","SRP068970","SRX1549861","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"340","SRP068970","SRX1549548","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"341","SRP068970","SRX1549724","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"342","SRP068970","SRX1549614","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"343","SRP068970","SRX1549681","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"344","SRP068970","SRX1549516","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"345","SRP068970","SRX1549509","MDA_MB_231 Cells","Cell Population","CSL -/-","n/a"
"346","SRP068970","SRX1549657","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"347","SRP068970","SRX1549631","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"348","SRP068970","SRX1549680","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"349","SRP068970","SRX1549865","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"350","SRP068970","SRX1549561","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"351","SRP068970","SRX1549577","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"352","SRP068970","SRX1549662","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"353","SRP068970","SRX1549512","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"354","SRP068970","SRX1549742","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"355","SRP068970","SRX1549575","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"356","SRP068970","SRX1549768","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"357","SRP068970","SRX1549493","MDA_MB_231 Cells","Cell Population","CSL -/-","n/a"
"358","SRP068970","SRX1549685","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"359","SRP068970","SRX1549669","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"360","SRP068970","SRX1549671","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"361","SRP068970","SRX1549710","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"362","SRP068970","SRX1549621","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"363","SRP068970","SRX1549601","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"364","SRP068970","SRX1549875","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"365","SRP068970","SRX1549592","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"366","SRP068970","SRX1549806","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"367","SRP068970","SRX1549490","Xenograft Tumor","Xenograft","CSL -/-","Late graft"
"368","SRP068970","SRX1549805","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"369","SRP068970","SRX1549799","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"370","SRP068970","SRX1549666","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"371","SRP068970","SRX1549628","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"372","SRP068970","SRX1549819","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"373","SRP068970","SRX1549560","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"374","SRP068970","SRX1549672","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"375","SRP068970","SRX1549758","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"376","SRP068970","SRX1549871","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"377","SRP068970","SRX1549641","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"378","SRP068970","SRX1549528","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"379","SRP068970","SRX1549844","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"380","SRP068970","SRX1549807","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"381","SRP068970","SRX1549713","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"382","SRP068970","SRX1549649","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"383","SRP068970","SRX1549845","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"384","SRP068970","SRX1549719","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"385","SRP068970","SRX1549820","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"386","SRP068970","SRX1549759","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"387","SRP068970","SRX1549651","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"388","SRP068970","SRX1549808","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"389","SRP068970","SRX1549748","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"390","SRP068970","SRX1549766","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"391","SRP068970","SRX1549814","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"392","SRP068970","SRX1549869","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"393","SRP068970","SRX1549714","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"394","SRP068970","SRX1549757","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"395","SRP068970","SRX1549533","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"396","SRP068970","SRX1549538","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"397","SRP068970","SRX1549856","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 2nd"
"398","SRP068970","SRX1549779","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"399","SRP068970","SRX1549661","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 2nd"
"400","SRP068970","SRX1549767","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
"401","SRP068970","SRX1549598","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"402","SRP068970","SRX1549558","Single Cell from Xenograft Tumor","Single Cell","CSL -/-","CSL KO Xenograft Tumor 1st"
"403","SRP068970","SRX1549498","MDA_MB_231 Cells","Cell Population","CSL +/+","n/a"
"404","SRP068970","SRX1549700","Single Cell from Xenograft Tumor","Single Cell","CSL +/+","CSL +/+ Xenograft Tumor 1st"
