"","study.accession","experiment.accession","source_name","cell.line","tissue","irradiation"
"205","SRP075613","SRX1796388","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"206","SRP075613","SRX1796368","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"207","SRP075613","SRX1796458","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"208","SRP075613","SRX1796614","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"209","SRP075613","SRX1796529","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"210","SRP075613","SRX1796598","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"211","SRP075613","SRX1796588","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"212","SRP075613","SRX1796603","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"213","SRP075613","SRX1796558","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"214","SRP075613","SRX1796641","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"215","SRP075613","SRX1796479","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"216","SRP075613","SRX1796429","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"217","SRP075613","SRX1796636","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"218","SRP075613","SRX1796579","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"219","SRP075613","SRX1796403","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"220","SRP075613","SRX1796428","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"221","SRP075613","SRX1796470","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"222","SRP075613","SRX1796577","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"223","SRP075613","SRX1796595","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"224","SRP075613","SRX1796628","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"225","SRP075613","SRX1796464","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"226","SRP075613","SRX1796448","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"227","SRP075613","SRX1796346","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"228","SRP075613","SRX1796474","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"229","SRP075613","SRX1796502","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"230","SRP075613","SRX1796414","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"231","SRP075613","SRX1796415","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"232","SRP075613","SRX1796534","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"233","SRP075613","SRX1796445","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"234","SRP075613","SRX1796410","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"235","SRP075613","SRX1796504","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"236","SRP075613","SRX1796398","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"237","SRP075613","SRX1796626","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"238","SRP075613","SRX1796633","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"239","SRP075613","SRX1796557","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"240","SRP075613","SRX1796497","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"241","SRP075613","SRX1796444","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"242","SRP075613","SRX1796406","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"243","SRP075613","SRX1796627","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"244","SRP075613","SRX1796496","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"245","SRP075613","SRX1796484","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"246","SRP075613","SRX1796587","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"247","SRP075613","SRX1796372","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"248","SRP075613","SRX1796505","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"249","SRP075613","SRX1796569","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"250","SRP075613","SRX1796441","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"251","SRP075613","SRX1796432","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"252","SRP075613","SRX1796349","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"253","SRP075613","SRX1796635","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"254","SRP075613","SRX1796624","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"255","SRP075613","SRX1796396","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"256","SRP075613","SRX1796355","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"257","SRP075613","SRX1796648","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"258","SRP075613","SRX1796493","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"259","SRP075613","SRX1796436","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"260","SRP075613","SRX1796379","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"261","SRP075613","SRX1796371","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"262","SRP075613","SRX1796556","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"263","SRP075613","SRX1796380","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"264","SRP075613","SRX1796532","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"265","SRP075613","SRX1796487","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"266","SRP075613","SRX1796494","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"267","SRP075613","SRX1796385","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"268","SRP075613","SRX1796471","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"269","SRP075613","SRX1796576","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"270","SRP075613","SRX1796548","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"271","SRP075613","SRX1796593","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"272","SRP075613","SRX1796465","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"273","SRP075613","SRX1796501","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"274","SRP075613","SRX1796561","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"275","SRP075613","SRX1796608","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"276","SRP075613","SRX1796423","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"277","SRP075613","SRX1796618","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"278","SRP075613","SRX1796512","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"279","SRP075613","SRX1796362","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"280","SRP075613","SRX1796383","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"281","SRP075613","SRX1796615","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"282","SRP075613","SRX1796452","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"283","SRP075613","SRX1796356","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"284","SRP075613","SRX1796521","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"285","SRP075613","SRX1796348","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"286","SRP075613","SRX1796555","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"287","SRP075613","SRX1796419","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"288","SRP075613","SRX1796485","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"289","SRP075613","SRX1796358","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"290","SRP075613","SRX1796404","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"291","SRP075613","SRX1796373","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"292","SRP075613","SRX1796570","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"293","SRP075613","SRX1796424","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"294","SRP075613","SRX1796422","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"295","SRP075613","SRX1796417","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"296","SRP075613","SRX1796535","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"297","SRP075613","SRX1796472","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"298","SRP075613","SRX1796586","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"299","SRP075613","SRX1796590","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"300","SRP075613","SRX1796632","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"301","SRP075613","SRX1796509","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"302","SRP075613","SRX1796655","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"303","SRP075613","SRX1796611","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"304","SRP075613","SRX1796374","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","0 Gy"
"305","SRP075613","SRX1796571","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"306","SRP075613","SRX1796566","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"307","SRP075613","SRX1796438","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"308","SRP075613","SRX1796645","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"309","SRP075613","SRX1796546","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"310","SRP075613","SRX1796541","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"311","SRP075613","SRX1796578","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"312","SRP075613","SRX1796637","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","30 Gy"
"313","SRP075613","SRX1796565","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
"314","SRP075613","SRX1796393","Esophageal squamous cell carcinoma","Esophageal squamous cell carcinoma line KYSE-180","Esophagus","12 Gy"
