"","study.accession","experiment.accession","source_name","cell.type","cell.type.1","disease"
"180","SRP038917","SRX475824","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"181","SRP038917","SRX475809","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"182","SRP038917","SRX475832","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"183","SRP038917","SRX475828","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"184","SRP038917","SRX475851","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"185","SRP038917","SRX475839","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"186","SRP038917","SRX475854","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"187","SRP038917","SRX475817","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"188","SRP038917","SRX475836","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"189","SRP038917","SRX475824","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"190","SRP038917","SRX475827","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"191","SRP038917","SRX475815","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"192","SRP038917","SRX475818","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"193","SRP038917","SRX475855","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"194","SRP038917","SRX475845","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"195","SRP038917","SRX475855","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"196","SRP038917","SRX475839","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"197","SRP038917","SRX475846","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"198","SRP038917","SRX475853","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"199","SRP038917","SRX475840","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"200","SRP038917","SRX475811","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"201","SRP038917","SRX475818","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"202","SRP038917","SRX475809","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"203","SRP038917","SRX475815","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"204","SRP038917","SRX475849","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"205","SRP038917","SRX475838","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"206","SRP038917","SRX475838","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"207","SRP038917","SRX475827","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"208","SRP038917","SRX475851","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"209","SRP038917","SRX475814","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"210","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"211","SRP038917","SRX475815","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"212","SRP038917","SRX475854","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"213","SRP038917","SRX475856","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"214","SRP038917","SRX475849","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"215","SRP038917","SRX475819","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"216","SRP038917","SRX475809","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"217","SRP038917","SRX475827","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"218","SRP038917","SRX475833","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"219","SRP038917","SRX475824","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"220","SRP038917","SRX475836","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"221","SRP038917","SRX475828","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"222","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"223","SRP038917","SRX475814","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"224","SRP038917","SRX475855","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"225","SRP038917","SRX475853","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"226","SRP038917","SRX475852","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"227","SRP038917","SRX475811","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"228","SRP038917","SRX475822","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"229","SRP038917","SRX475821","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"230","SRP038917","SRX475844","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"231","SRP038917","SRX475840","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"232","SRP038917","SRX475815","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"233","SRP038917","SRX475811","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"234","SRP038917","SRX475813","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"235","SRP038917","SRX475815","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"236","SRP038917","SRX475845","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"237","SRP038917","SRX475825","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"238","SRP038917","SRX475843","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"239","SRP038917","SRX475856","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"240","SRP038917","SRX475809","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"241","SRP038917","SRX475852","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"242","SRP038917","SRX475857","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"243","SRP038917","SRX475850","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"244","SRP038917","SRX475820","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"245","SRP038917","SRX475851","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"246","SRP038917","SRX475830","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"247","SRP038917","SRX475817","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"248","SRP038917","SRX475832","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"249","SRP038917","SRX475846","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"250","SRP038917","SRX475816","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"251","SRP038917","SRX475835","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"252","SRP038917","SRX475829","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"253","SRP038917","SRX475845","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"254","SRP038917","SRX475835","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"255","SRP038917","SRX475822","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"256","SRP038917","SRX475826","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"257","SRP038917","SRX475844","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"258","SRP038917","SRX475840","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"259","SRP038917","SRX475832","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"260","SRP038917","SRX475854","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"261","SRP038917","SRX475852","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"262","SRP038917","SRX475821","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"263","SRP038917","SRX475824","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"264","SRP038917","SRX475856","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"265","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"266","SRP038917","SRX475833","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"267","SRP038917","SRX475838","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"268","SRP038917","SRX475849","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"269","SRP038917","SRX475824","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"270","SRP038917","SRX475813","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"271","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"272","SRP038917","SRX475823","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"273","SRP038917","SRX475831","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"274","SRP038917","SRX475818","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"275","SRP038917","SRX475848","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"276","SRP038917","SRX475818","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"277","SRP038917","SRX475831","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"278","SRP038917","SRX475855","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"279","SRP038917","SRX475841","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"280","SRP038917","SRX475847","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"281","SRP038917","SRX475831","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"282","SRP038917","SRX475844","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"283","SRP038917","SRX475825","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"284","SRP038917","SRX475810","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"285","SRP038917","SRX475843","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"286","SRP038917","SRX475838","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"287","SRP038917","SRX475843","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"288","SRP038917","SRX475822","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"289","SRP038917","SRX475816","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"290","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"291","SRP038917","SRX475809","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"292","SRP038917","SRX475809","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"293","SRP038917","SRX475836","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"294","SRP038917","SRX475840","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"295","SRP038917","SRX475831","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"296","SRP038917","SRX475817","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"297","SRP038917","SRX475837","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"298","SRP038917","SRX475857","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"299","SRP038917","SRX475822","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"300","SRP038917","SRX475833","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"301","SRP038917","SRX475836","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"302","SRP038917","SRX475810","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"303","SRP038917","SRX475828","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"304","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"305","SRP038917","SRX475847","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"306","SRP038917","SRX475840","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"307","SRP038917","SRX475851","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"308","SRP038917","SRX475814","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"309","SRP038917","SRX475839","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"310","SRP038917","SRX475818","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"311","SRP038917","SRX475857","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"312","SRP038917","SRX475854","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"313","SRP038917","SRX475851","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"314","SRP038917","SRX475850","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"315","SRP038917","SRX475849","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"316","SRP038917","SRX475824","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"317","SRP038917","SRX475829","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"318","SRP038917","SRX475852","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"319","SRP038917","SRX475850","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"320","SRP038917","SRX475818","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"321","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"322","SRP038917","SRX475817","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"323","SRP038917","SRX475812","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"324","SRP038917","SRX475841","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"325","SRP038917","SRX475839","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"326","SRP038917","SRX475821","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"327","SRP038917","SRX475835","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"328","SRP038917","SRX475849","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"329","SRP038917","SRX475836","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"330","SRP038917","SRX475848","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"331","SRP038917","SRX475832","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"332","SRP038917","SRX475850","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"333","SRP038917","SRX475851","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"334","SRP038917","SRX475818","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"335","SRP038917","SRX475842","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"336","SRP038917","SRX475809","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"337","SRP038917","SRX475838","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"338","SRP038917","SRX475839","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"339","SRP038917","SRX475836","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"340","SRP038917","SRX475826","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"341","SRP038917","SRX475831","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"342","SRP038917","SRX475813","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"343","SRP038917","SRX475824","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"344","SRP038917","SRX475827","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"345","SRP038917","SRX475848","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"346","SRP038917","SRX475830","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"347","SRP038917","SRX475819","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"348","SRP038917","SRX475836","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","healthy (tested non-asthmatic)"
"349","SRP038917","SRX475819","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","healthy (tested non-asthmatic)"
"350","SRP038917","SRX475833","Blood PBMCs","CCR4+ T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4+ CD25- T cells","asthmatic"
"351","SRP038917","SRX475852","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"352","SRP038917","SRX475817","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"353","SRP038917","SRX475813","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"354","SRP038917","SRX475812","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
"355","SRP038917","SRX475848","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","asthmatic"
"356","SRP038917","SRX475855","Blood PBMCs","Naive T cells","CD3+ CD4+ CD45RO- CD45RA+ CD62L+ T cells","healthy (tested non-asthmatic)"
"357","SRP038917","SRX475818","Blood PBMCs","CCR4- T cells","CD3+ CD4+ CD45RO+ CD45RA- CCR4- CD25- T cells","asthmatic"
